aX,aY,aZ,gX,gY,gZ
0.318,-0.018,-0.427,-3.845,-8.911,-30.640
0.255,0.021,-0.344,-19.104,-14.038,-34.912
0.115,0.145,-0.430,-29.419,-26.245,-43.274
0.105,0.496,-0.418,-31.311,-11.230,-49.500
0.028,0.421,-0.362,-16.907,4.028,-37.720
-0.066,0.159,-0.411,-4.578,9.155,-14.954
-0.049,0.275,-0.456,-2.563,29.907,-10.559
-0.068,0.004,-0.561,-1.404,40.649,-6.042
-0.085,0.145,-0.680,-14.343,54.382,-8.484
0.029,0.466,-0.505,-42.908,94.727,-28.931
-0.110,0.453,-0.471,-76.111,110.901,-37.354
-0.081,0.441,-0.452,-90.942,110.046,-30.884
-0.102,0.504,-0.406,-94.849,104.004,-17.639
-0.150,0.589,-0.383,-95.520,92.834,0.183
-0.179,0.625,-0.367,-98.022,78.491,22.095
-0.203,0.657,-0.357,-99.426,58.289,44.861
-0.251,0.721,-0.315,-99.609,28.564,67.322
-0.373,0.803,-0.305,-101.074,-5.676,88.257
-0.390,0.825,-0.296,-107.178,-37.720,107.910
-0.458,0.879,-0.295,-114.258,-58.044,122.131
-0.511,0.902,-0.248,-120.667,-68.604,130.127
-0.583,0.934,-0.201,-129.089,-71.655,132.141
-0.639,1.008,-0.177,-137.329,-66.895,132.751
-0.691,1.089,-0.113,-143.311,-57.129,137.024
-0.665,1.125,-0.023,-148.315,-48.340,146.179
-0.621,1.133,0.002,-154.053,-45.715,158.142
-0.542,1.130,0.011,-158.813,-49.072,172.668
-0.500,1.159,0.089,-167.969,-63.110,186.279
-0.509,1.193,0.139,-177.307,-89.355,196.899
-0.458,1.198,0.170,-186.157,-113.464,205.811
-0.355,1.176,0.178,-195.374,-128.296,214.050
-0.501,1.098,0.315,-201.538,-154.907,224.854
-0.446,1.178,0.400,-201.416,-175.110,230.713
-0.475,1.229,0.538,-196.838,-199.585,237.549
-0.380,1.263,0.644,-195.740,-212.341,242.920
-0.298,1.329,0.814,-194.824,-215.820,250.366
-0.166,1.430,1.081,-193.665,-215.332,255.554
0.053,1.506,1.372,-195.190,-212.463,261.108
0.190,1.588,1.699,-197.388,-212.341,270.691
0.652,1.892,2.117,-201.416,-217.529,277.100
0.990,2.057,2.573,-203.918,-243.469,281.494
1.377,2.162,2.991,-196.594,-267.944,272.644
1.626,2.150,3.308,-173.279,-301.514,253.052
1.857,2.126,3.531,-137.024,-326.538,221.130
2.070,2.106,3.646,-90.393,-335.327,178.162
2.005,2.111,3.644,-44.617,-326.538,130.798
1.969,2.120,3.658,-10.925,-300.964,75.562
1.786,2.174,3.682,16.724,-284.058,14.954
1.549,2.208,3.696,38.818,-257.019,-39.307
1.359,2.221,3.670,60.547,-223.450,-83.557
1.199,2.178,3.592,81.116,-187.378,-115.479
1.081,2.095,3.482,98.145,-150.208,-137.634
1.001,1.994,3.314,112.549,-111.511,-154.663
0.953,1.854,3.111,125.977,-69.946,-170.654
0.887,1.701,2.894,138.184,-33.630,-189.270
0.805,1.556,2.676,148.682,-3.906,-208.313
0.715,1.433,2.461,158.813,19.592,-227.112
0.619,1.340,2.264,169.922,40.039,-245.667
0.521,1.268,2.098,181.213,59.265,-262.085
0.427,1.185,1.952,191.223,76.233,-275.391
0.285,1.125,1.819,201.233,87.708,-284.973
0.201,1.019,1.720,210.815,97.778,-290.161
0.114,0.921,1.633,220.032,104.187,-290.161
0.066,0.831,1.557,232.239,107.605,-286.316
0.025,0.734,1.482,246.216,107.117,-279.724
-0.009,0.642,1.382,260.254,100.403,-272.583
-0.038,0.563,1.269,273.315,86.609,-263.977
-0.093,0.474,1.104,285.767,69.275,-256.165
-0.047,0.367,0.927,295.532,51.086,-246.826
-0.115,0.254,0.782,300.781,29.297,-231.812
-0.076,0.157,0.591,303.040,11.230,-214.844
-0.078,0.028,0.423,303.589,-3.418,-199.219
-0.065,-0.066,0.218,300.415,-13.672,-186.096
-0.030,-0.159,0.050,293.274,-11.108,-177.856
-0.006,-0.259,-0.093,283.325,-4.639,-172.913
0.003,-0.355,-0.241,272.217,7.507,-173.096
0.020,-0.414,-0.383,263.306,27.771,-179.077
-0.007,-0.480,-0.492,252.197,48.889,-188.538
-0.060,-0.513,-0.574,238.220,79.834,-201.904
-0.091,-0.562,-0.615,224.731,113.464,-217.346
-0.128,-0.542,-0.645,209.412,135.010,-234.436
-0.278,-0.499,-0.640,192.688,144.348,-249.939
-0.403,-0.437,-0.635,176.025,146.484,-259.460
-0.526,-0.369,-0.630,160.156,138.245,-262.695
-0.642,-0.290,-0.649,145.935,119.751,-259.399
-0.749,-0.234,-0.653,130.066,95.337,-250.427
-0.878,-0.155,-0.683,110.291,70.313,-238.586
-1.026,-0.134,-0.677,87.341,49.744,-228.027
-1.182,-0.030,-0.571,71.350,19.104,-217.346
-1.415,0.096,-0.576,60.547,-34.790,-198.181
-1.632,0.203,-0.588,45.593,-99.426,-177.124
-1.905,0.305,-0.687,28.931,-174.011,-153.198
-2.168,0.410,-0.822,11.108,-235.291,-124.817
-2.438,0.532,-0.923,-13.428,-273.560,-91.431
-2.654,0.677,-0.993,-49.866,-283.020,-52.551
-2.882,0.822,-0.998,-93.201,-257.385,-7.568
-2.989,1.085,-0.846,-136.597,-200.562,48.157
-2.909,1.417,-0.591,-175.232,-129.700,114.746
-2.714,1.692,-0.341,-208.862,-70.313,183.899
-2.461,1.913,-0.124,-234.985,-33.630,244.080
-2.250,2.126,0.082,-249.878,-29.175,292.175
-2.075,2.329,0.268,-255.737,-51.697,331.482
-1.876,2.442,0.373,-256.592,-89.294,364.502
-1.676,2.525,0.355,-258.972,-131.165,392.151
-1.502,2.603,0.312,-266.846,-160.583,412.659
-1.294,2.675,0.480,-278.870,-167.175,425.903
-0.987,2.787,0.838,-288.696,-160.461,435.669
-0.609,2.896,1.144,-299.500,-156.616,444.031
-0.272,2.921,1.506,-316.650,-153.748,452.759
0.102,2.814,1.909,-331.482,-133.545,459.839
0.425,2.671,2.307,-327.637,-109.314,457.397
0.756,2.459,2.610,-299.683,-101.685,441.406
1.018,2.234,2.706,-264.832,-115.295,413.513
1.120,2.070,2.833,-228.943,-130.188,376.404
1.172,1.902,2.979,-201.172,-126.404,337.280
1.189,1.768,3.036,-176.453,-117.676,302.612
1.213,1.613,2.976,-147.034,-105.286,274.048
1.208,1.413,2.779,-118.164,-96.558,247.559
1.140,1.206,2.542,-95.581,-98.145,220.520
0.511,-0.891,0.427,15.808,58.105,-39.612
0.511,-0.904,0.425,16.907,54.688,-40.405
0.500,-0.920,0.407,17.822,46.997,-40.222
0.485,-0.935,0.376,17.822,38.025,-39.551
0.464,-0.954,0.345,17.395,30.090,-39.490
0.438,-0.965,0.327,15.564,23.804,-39.490
0.421,-0.962,0.304,13.123,19.958,-39.124
0.405,-0.955,0.299,11.292,19.775,-38.452
0.395,-0.942,0.299,10.010,23.621,-37.292
0.393,-0.930,0.302,9.827,27.771,-36.377
0.389,-0.923,0.297,9.705,30.518,-36.987
0.383,-0.922,0.284,9.827,32.043,-39.063
0.364,-0.925,0.263,10.315,33.447,-41.870
0.343,-0.919,0.228,10.803,35.950,-43.335
0.323,-0.917,0.181,11.414,40.466,-42.725
0.318,-0.926,0.141,12.207,46.692,-40.222
0.332,-0.929,0.099,11.902,52.124,-36.072
0.353,-0.922,0.060,9.766,53.528,-32.227
0.360,-0.913,0.036,6.348,48.950,-29.785
0.352,-0.900,0.007,2.686,39.063,-27.832
0.325,-0.878,-0.024,-0.549,25.818,-26.978
0.279,-0.856,-0.063,-1.892,10.864,-28.748
0.197,-0.827,-0.117,-0.854,-3.723,-32.898
0.125,-0.776,-0.189,3.235,-10.437,-38.757
0.049,-0.724,-0.267,10.254,-9.949,-47.791
-0.041,-0.684,-0.357,18.799,-4.700,-60.852
-0.149,-0.616,-0.458,29.297,8.484,-79.285
-0.269,-0.556,-0.560,39.917,27.344,-100.708
-0.392,-0.501,-0.649,46.143,44.250,-121.399
-0.524,-0.443,-0.706,46.204,55.786,-140.503
-0.665,-0.397,-0.738,38.452,62.012,-154.968
-0.834,-0.387,-0.736,26.001,61.890,-162.231
-1.031,-0.358,-0.720,11.108,55.847,-160.828
-1.241,-0.293,-0.721,-4.456,43.945,-149.597
-1.445,-0.173,-0.731,-22.339,27.832,-127.747
-1.596,-0.087,-0.738,-43.884,10.498,-97.168
-1.724,0.031,-0.785,-65.613,-12.207,-63.049
-1.834,0.225,-0.854,-84.534,-41.504,-32.715
-2.028,0.468,-0.928,-102.844,-78.796,-12.573
-2.343,0.760,-0.974,-126.526,-116.699,-1.709
-2.722,1.044,-0.929,-157.227,-145.325,6.836
-3.069,1.389,-0.770,-196.228,-168.457,23.499
-3.409,1.840,-0.537,-243.713,-192.810,55.481
-3.693,2.353,-0.243,-293.152,-214.783,103.516
-3.847,2.873,0.173,-338.318,-227.112,171.326
-3.695,3.407,0.614,-374.695,-227.295,260.803
-3.240,3.767,0.997,-399.841,-212.769,364.441
-2.602,3.959,1.371,-410.217,-185.425,460.327
-1.831,4.000,1.736,-409.119,-147.644,523.071
-1.018,4.000,2.188,-410.156,-111.633,547.546
-0.273,3.904,2.726,-417.480,-96.069,546.387
0.359,3.779,3.342,-427.185,-100.403,539.612
0.957,3.698,4.000,-436.035,-100.708,542.786
1.564,3.452,4.000,-428.467,-88.501,549.377
2.172,3.059,4.000,-378.784,-75.317,538.269
2.571,2.689,4.000,-298.157,-77.087,501.770
2.806,2.456,4.000,-226.013,-82.275,446.472
2.732,2.037,4.000,-182.739,-93.079,400.818
3.817,1.844,4.000,-154.175,-58.472,360.352
3.629,1.488,4.000,-103.760,12.878,309.998
3.845,1.205,4.000,-53.894,23.315,274.109
3.835,0.907,3.915,-18.799,161.011,213.623
3.908,0.800,3.996,13.733,268.188,156.189
3.818,0.730,3.962,47.546,233.582,159.424
3.789,0.706,3.629,75.500,143.005,136.902
3.364,0.589,3.118,85.510,73.364,100.159
3.032,0.334,2.919,90.881,63.416,67.261
2.718,0.307,2.697,110.229,82.458,28.503
2.315,0.269,2.351,137.085,110.229,-9.949
1.887,0.151,1.955,161.438,151.978,-51.880
1.415,0.131,1.645,179.260,196.411,-94.604
1.000,0.099,1.450,186.279,238.953,-127.014
0.685,0.066,1.299,183.472,268.127,-144.348
0.519,0.021,1.177,174.805,289.001,-149.109
0.474,-0.055,1.119,162.109,308.594,-145.081
0.457,-0.099,1.064,150.146,317.078,-138.611
0.488,-0.116,0.974,142.456,315.857,-131.653
0.545,-0.103,0.858,137.756,307.495,-125.061
0.620,-0.057,0.744,132.080,295.471,-122.864
0.640,-0.037,0.639,124.512,280.823,-126.526
0.601,0.018,0.529,117.615,260.498,-132.019
0.523,0.088,0.396,113.525,234.680,-137.695
0.421,0.133,0.269,108.765,209.290,-141.113
0.302,0.208,0.140,102.417,188.293,-140.869
0.169,0.307,0.032,97.595,172.363,-137.451
0.053,0.371,-0.069,92.834,163.391,-130.920
-0.009,0.421,-0.135,86.548,161.560,-121.948
-0.088,0.489,-0.201,79.468,164.062,-111.450
-0.104,0.502,-0.260,68.726,172.119,-98.450
-0.088,0.514,-0.311,51.880,174.866,-84.412
-0.077,0.521,-0.365,32.898,173.157,-70.374
-0.027,0.550,-0.386,15.015,173.157,-57.739
-0.041,0.571,-0.337,-2.319,168.884,-45.288
-0.018,0.579,-0.283,-18.555,155.151,-36.133
-0.001,0.628,-0.249,-34.424,132.263,-33.997
-0.039,0.657,-0.205,-48.218,105.835,-34.119
-0.106,0.684,-0.181,-60.242,78.125,-37.720
-0.165,0.737,-0.165,-70.313,53.955,-44.739
-0.223,0.824,-0.172,-78.003,32.288,-51.697
-0.313,0.907,-0.205,-85.144,13.733,-55.969
-0.382,0.959,-0.229,-92.590,5.066,-55.115
-0.446,0.962,-0.248,-98.572,3.479,-48.462
-0.496,0.937,-0.299,-100.403,6.348,-35.156
-0.525,0.896,-0.378,-98.511,13.306,-16.357
-0.549,0.883,-0.464,-98.022,23.804,3.723
-0.563,0.892,-0.503,-103.149,38.208,22.888
-0.588,0.950,-0.493,-113.159,52.673,39.734
-0.591,1.015,-0.451,-123.779,62.683,55.847
-0.570,1.085,-0.444,-132.996,62.805,73.975
-0.558,1.140,-0.460,-145.081,51.514,91.614
-0.559,1.205,-0.468,-159.912,33.630,108.093
-0.596,1.270,-0.451,-173.889,13.733,125.854
-0.655,1.339,-0.416,-186.096,-6.226,148.743
-0.671,1.435,-0.372,-197.205,-22.156,178.101
-0.592,1.553,-0.345,-208.740,-33.936,212.708
-0.514,1.652,-0.352,-228.027,-48.462,246.704
-0.499,1.731,-0.297,-254.578,-63.416,276.978
-0.421,1.840,-0.175,-280.518,-78.369,303.467
-0.343,1.912,-0.040,-301.636,-91.125,327.576
0.221,0.550,0.723,-4.761,-3.113,-1.343
0.211,0.552,0.727,-5.615,-2.563,-2.625
0.193,0.565,0.742,-5.798,-1.526,-3.296
0.192,0.570,0.763,-5.249,-0.305,-3.235
0.193,0.577,0.772,-4.700,-0.549,-3.052
0.185,0.586,0.770,-3.845,-2.808,-2.563
0.175,0.592,0.757,-3.418,-4.822,-1.892
0.166,0.592,0.744,-3.906,-5.493,-0.610
0.170,0.594,0.747,-4.395,-4.944,1.465
0.181,0.594,0.752,-5.005,-4.272,3.479
0.194,0.591,0.756,-5.981,-4.333,5.310
0.210,0.592,0.762,-6.470,-4.822,5.981
0.220,0.591,0.766,-6.592,-5.310,5.554
0.232,0.588,0.770,-6.958,-5.127,4.211
0.234,0.589,0.779,-6.897,-4.211,1.953
