aX,aY,aZ,gX,gY,gZ
0.070,-0.599,0.526,100.952,-21.790,34.485
0.097,-0.641,0.486,117.493,5.371,47.913
0.142,-0.664,0.469,120.422,26.917,52.063
0.181,-0.678,0.448,117.981,37.048,52.124
0.240,-0.686,0.329,111.328,39.673,47.363
0.205,-0.621,0.241,97.534,42.236,36.926
0.177,-0.513,0.130,87.402,58.228,31.494
0.083,-0.454,0.154,87.341,83.191,36.743
0.179,-0.791,-0.233,84.961,108.215,49.133
0.255,-0.690,-0.305,34.607,131.592,44.556
0.042,-0.351,0.203,-19.958,149.414,24.780
0.148,-0.365,-0.010,11.169,178.894,19.226
0.088,-0.347,0.000,9.949,183.960,20.264
0.042,-0.303,-0.009,10.315,183.777,23.682
0.031,-0.255,-0.015,8.789,183.289,23.926
-0.022,-0.208,-0.029,7.874,176.270,22.949
-0.074,-0.151,-0.041,3.845,163.208,20.874
-0.120,-0.129,-0.017,-3.418,140.198,18.005
-0.143,-0.144,-0.009,-13.733,104.736,12.207
-0.195,-0.031,0.045,-23.132,61.218,1.953
-0.226,-0.036,0.048,-38.452,8.362,-2.930
-0.301,-0.017,0.030,-56.152,-49.988,-2.991
-0.356,0.006,0.023,-71.045,-103.455,-0.793
-0.418,0.054,0.003,-83.679,-145.752,3.845
-0.488,0.063,-0.033,-99.976,-173.157,15.869
-0.499,0.077,-0.010,-118.530,-182.983,34.546
-0.477,0.061,0.065,-135.681,-181.274,58.228
-0.405,0.066,0.223,-150.757,-172.607,82.947
-0.307,0.029,0.401,-163.147,-163.513,106.873
-0.173,-0.042,0.560,-171.875,-155.334,131.226
-0.025,-0.126,0.720,-173.096,-148.071,153.748
0.132,-0.183,0.896,-167.603,-143.127,171.082
0.321,-0.257,1.084,-159.302,-139.038,182.861
0.537,-0.362,1.265,-150.208,-131.042,190.186
0.729,-0.450,1.391,-137.695,-115.906,190.674
0.896,-0.511,1.473,-123.047,-92.163,183.960
1.088,-0.573,1.547,-108.154,-60.791,173.218
1.322,-0.645,1.614,-97.290,-27.466,161.438
1.521,-0.660,1.677,-91.309,1.038,146.667
1.686,-0.646,1.752,-87.402,21.118,128.967
